ID,triple1,question,answer,inferred triple,label
1546,Carbohydrate is different from Carbohydrate.,"Given the previous statement, is Hydrocarbon an Carbohydrate?",No,Hydrocarbon is not different from Carbohydrate.,False
1547,Carbon Canyon Dam is different from Carbon Canyon Dam.,"Given the previous statement, is California an Carbon Canyon Dam?",No,California is not different from Carbon Canyon Dam.,False
1548,Carbon Canyon Dam is different from Carbon Canyon Dam.,"Given the previous statement, is Canyon an Carbon Canyon Dam?",No,Canyon is not different from Carbon Canyon Dam.,False
1549,Carbon snake is different from Carbon snake.,"Given the previous statement, is Black snake an Carbon snake?",No,Black snake is not different from Carbon snake.,False
1550,Carbonari is different from Carbonari.,"Given the previous statement, is Carabinieri an Carbonari?",No,Carabinieri is not different from Carbonari.,False
1551,Carbonate is different from Carbonate.,"Given the previous statement, is Carbon trioxide an Carbonate?",No,Carbon trioxide is not different from Carbonate.,False
1552,Carbonic acid is different from Carbonic acid.,"Given the previous statement, is Phenol an Carbonic acid?",No,Phenol is not different from Carbonic acid.,False
1553,"Carbost, Loch Harport is different from Carbost, Loch Harport.","Given the previous statement, is Carbost an Carbost, Loch Harport?",No,"Carbost is not different from Carbost, Loch Harport.",False
1554,"Carbost, Loch Harport is different from Carbost, Loch Harport.","Given the previous statement, is Trotternish an Carbost, Loch Harport?",No,"Trotternish is not different from Carbost, Loch Harport.",False
1555,"Carbost, Trotternish is different from Carbost, Trotternish.","Given the previous statement, is Carbost an Carbost, Trotternish?",No,"Carbost is not different from Carbost, Trotternish.",False
1556,"Carbost, Trotternish is different from Carbost, Trotternish.","Given the previous statement, is Loch Harport an Carbost, Trotternish?",No,"Loch Harport is not different from Carbost, Trotternish.",False
1557,Carbury GAA is different from Carbury GAA.,"Given the previous statement, is Carbery GAA an Carbury GAA?",No,Carbery GAA is not different from Carbury GAA.,False
1558,Carcharodontosaurus is different from Carcharodontosaurus.,"Given the previous statement, is Carcharodon an Carcharodontosaurus?",No,Carcharodon is not different from Carcharodontosaurus.,False
1559,Carcinoid is different from Carcinoid.,"Given the previous statement, is Chancroid an Carcinoid?",No,Chancroid is not different from Carcinoid.,False
1560,CardEx is different from CardEx.,"Given the previous statement, is Kardex an CardEx?",No,Kardex is not different from CardEx.,False
1561,Card is different from Card.,"Given the previous statement, is Sports card an Card?",No,Sports card is not different from Card.,False
1562,Card is different from Card.,"Given the previous statement, is Penalty card an Card?",No,Penalty card is not different from Card.,False
1563,Card manipulation is different from Card manipulation.,"Given the previous statement, is Cartomancy an Card manipulation?",No,Cartomancy is not different from Card manipulation.,False
1564,Card sorting is different from Card sorting.,"Given the previous statement, is Card sorter an Card sorting?",No,Card sorter is not different from Card sorting.,False
1565,Cardamom Hills is different from Cardamom Hills.,"Given the previous statement, is Cardamom Mountains an Cardamom Hills?",No,Cardamom Mountains is not different from Cardamom Hills.,False
1566,Cardiff city centre is different from Cardiff city centre.,"Given the previous statement, is Cardiff Central an Cardiff city centre?",No,Cardiff Central is not different from Cardiff city centre.,False
1567,Cardinal Courier Media is different from Cardinal Courier Media.,"Given the previous statement, is C-lehti an Cardinal Courier Media?",No,C-lehti is not different from Cardinal Courier Media.,False
1568,Cardinal O'Hara High School is different from Cardinal O'Hara High School.,"Given the previous statement, is New York) an Cardinal O'Hara High School?",No,New York) is not different from Cardinal O'Hara High School.,False
1569,Cardinal O'Hara High School is different from Cardinal O'Hara High School.,"Given the previous statement, is Cardinal O'Hara High School (Tonawanda an Cardinal O'Hara High School?",No,Cardinal O'Hara High School (Tonawanda is not different from Cardinal O'Hara High School.,False
1570,Cardinal de Rohan is different from Cardinal de Rohan.,"Given the previous statement, is Armand Gaston Maximilien de Rohan an Cardinal de Rohan?",No,Armand Gaston Maximilien de Rohan is not different from Cardinal de Rohan.,False
1571,Cardinal de Rohan is different from Cardinal de Rohan.,"Given the previous statement, is Louis Constantin de Rohan an Cardinal de Rohan?",No,Louis Constantin de Rohan is not different from Cardinal de Rohan.,False
1572,Cardinal de Rohan is different from Cardinal de Rohan.,"Given the previous statement, is Armand de Rohan-Soubise an Cardinal de Rohan?",No,Armand de Rohan-Soubise is not different from Cardinal de Rohan.,False
1573,Cardio-Vascular is different from Cardio-Vascular.,"Given the previous statement, is Cardiovascular an Cardio-Vascular?",No,Cardiovascular is not different from Cardio-Vascular.,False
1574,CareFlight is different from CareFlight.,"Given the previous statement, is CareFlite an CareFlight?",No,CareFlite is not different from CareFlight.,False
1575,Careem is different from Careem.,"Given the previous statement, is Karim an Careem?",No,Karim is not different from Careem.,False
1576,Caret is different from Caret.,"Given the previous statement, is Carrot an Caret?",No,Carrot is not different from Caret.,False
1577,Caret is different from Caret.,"Given the previous statement, is Carat an Caret?",No,Carat is not different from Caret.,False
1578,Caret is different from Caret.,"Given the previous statement, is Carrot an Caret?",No,Carrot is not different from Caret.,False
1579,Caretaker is different from Caretaker.,"Given the previous statement, is The Caretaker an Caretaker?",No,The Caretaker is not different from Caretaker.,False
1580,Carey Hart is different from Carey Hart.,"Given the previous statement, is Corey Hart an Carey Hart?",No,Corey Hart is not different from Carey Hart.,False
1581,Carfax is different from Carfax.,"Given the previous statement, is CarMax an Carfax?",No,CarMax is not different from Carfax.,False
1582,Carfentanil is different from Carfentanil.,"Given the previous statement, is Carfenil an Carfentanil?",No,Carfenil is not different from Carfentanil.,False
1583,Cargill is different from Cargill.,"Given the previous statement, is Kargil an Cargill?",No,Kargil is not different from Cargill.,False
1584,Carib Theatre is different from Carib Theatre.,"Given the previous statement, is Little Carib Theatre an Carib Theatre?",No,Little Carib Theatre is not different from Carib Theatre.,False
1585,Cariboo is different from Cariboo.,"Given the previous statement, is Cariboo an Cariboo?",No,Cariboo is not different from Cariboo.,False
1586,Cariboo River Provincial Park is different from Cariboo River Provincial Park.,"Given the previous statement, is Caribou River Provincial Park an Cariboo River Provincial Park?",No,Caribou River Provincial Park is not different from Cariboo River Provincial Park.,False
1587,Carinthia is different from Carinthia.,"Given the previous statement, is Corinthia an Carinthia?",No,Corinthia is not different from Carinthia.,False
1588,Carl-Georg Andersson is different from Carl-Georg Andersson.,"Given the previous statement, is Carl Andersson an Carl-Georg Andersson?",No,Carl Andersson is not different from Carl-Georg Andersson.,False
1589,Carl A. Anderson is different from Carl A. Anderson.,"Given the previous statement, is Carl Albert Andersen an Carl A. Anderson?",No,Carl Albert Andersen is not different from Carl A. Anderson.,False
1590,Carl Albert Andersen is different from Carl Albert Andersen.,"Given the previous statement, is Carl Albert Anderson an Carl Albert Andersen?",No,Carl Albert Anderson is not different from Carl Albert Andersen.,False
1591,Carl Andersson is different from Carl Andersson.,"Given the previous statement, is Carl-Georg Andersson an Carl Andersson?",No,Carl-Georg Andersson is not different from Carl Andersson.,False
1592,Carl Axel Arrhenius is different from Carl Axel Arrhenius.,"Given the previous statement, is Svante Arrhenius an Carl Axel Arrhenius?",No,Svante Arrhenius is not different from Carl Axel Arrhenius.,False
1593,Carl Björk is different from Carl Björk.,"Given the previous statement, is Born 2000) an Carl Björk?",No,Born 2000) is not different from Carl Björk.,False
1594,Carl Björk is different from Carl Björk.,"Given the previous statement, is Carl Björk (footballer an Carl Björk?",No,Carl Björk (footballer is not different from Carl Björk.,False
1595,Carl Björk is different from Carl Björk.,"Given the previous statement, is Born 1992) an Carl Björk?",No,Born 1992) is not different from Carl Björk.,False
1596,Carl Björk is different from Carl Björk.,"Given the previous statement, is Carl Björk (footballer an Carl Björk?",No,Carl Björk (footballer is not different from Carl Björk.,False
1597,Carl Cooke is different from Carl Cooke.,"Given the previous statement, is Carl Cook an Carl Cooke?",No,Carl Cook is not different from Carl Cooke.,False
1598,Carl Cox is different from Carl Cox.,"Given the previous statement, is Karl Cox an Carl Cox?",No,Karl Cox is not different from Carl Cox.,False
1599,Carl Edwards Jr. is different from Carl Edwards Jr..,"Given the previous statement, is Carl Edwards an Carl Edwards Jr.?",No,Carl Edwards is not different from Carl Edwards Jr..,False
1600,Carl Friedrich Schmid is different from Carl Friedrich Schmid.,"Given the previous statement, is Carl Friedrich Schmidt an Carl Friedrich Schmid?",No,Carl Friedrich Schmidt is not different from Carl Friedrich Schmid.,False
1601,Carl Friedrich Schmidt is different from Carl Friedrich Schmidt.,"Given the previous statement, is Carl Friedrich Schmid an Carl Friedrich Schmidt?",No,Carl Friedrich Schmid is not different from Carl Friedrich Schmidt.,False
1602,Carl Friedrich Schmidt is different from Carl Friedrich Schmidt.,"Given the previous statement, is Carl Friedrich Schmidt an Carl Friedrich Schmidt?",No,Carl Friedrich Schmidt is not different from Carl Friedrich Schmidt.,False
1603,Carl Howard is different from Carl Howard.,"Given the previous statement, is Carl Howard an Carl Howard?",No,Carl Howard is not different from Carl Howard.,False
1604,Carl Kendall is different from Carl Kendall.,"Given the previous statement, is Carol Kendall an Carl Kendall?",No,Carol Kendall is not different from Carl Kendall.,False
1605,Carl Kendall is different from Carl Kendall.,"Given the previous statement, is Carol Kendall an Carl Kendall?",No,Carol Kendall is not different from Carl Kendall.,False
1606,Carl Linnaeus is different from Carl Linnaeus.,"Given the previous statement, is Carl Linnaeus the Younger an Carl Linnaeus?",No,Carl Linnaeus the Younger is not different from Carl Linnaeus.,False
1607,Carl Linnaeus is different from Carl Linnaeus.,"Given the previous statement, is Karl Linnas an Carl Linnaeus?",No,Karl Linnas is not different from Carl Linnaeus.,False
1608,Carl Ludwig Willdenow is different from Carl Ludwig Willdenow.,"Given the previous statement, is Wild an Carl Ludwig Willdenow?",No,Wild is not different from Carl Ludwig Willdenow.,False
1609,Carl Lutz is different from Carl Lutz.,"Given the previous statement, is Karl Lutz an Carl Lutz?",No,Karl Lutz is not different from Carl Lutz.,False
1610,Carl Martin is different from Carl Martin.,"Given the previous statement, is Carl Martin an Carl Martin?",No,Carl Martin is not different from Carl Martin.,False
1611,Carl Martin is different from Carl Martin.,"Given the previous statement, is Carl Martin an Carl Martin?",No,Carl Martin is not different from Carl Martin.,False
1612,Carl Otto Løvenskiold is different from Carl Otto Løvenskiold.,"Given the previous statement, is Carl Otto Løvenskiold an Carl Otto Løvenskiold?",No,Carl Otto Løvenskiold is not different from Carl Otto Løvenskiold.,False
1613,Carl Otto Løvenskiold is different from Carl Otto Løvenskiold.,"Given the previous statement, is Carl Otto Løvenskiold an Carl Otto Løvenskiold?",No,Carl Otto Løvenskiold is not different from Carl Otto Løvenskiold.,False
1614,Carl Schmidt is different from Carl Schmidt.,"Given the previous statement, is Karl Schmid an Carl Schmidt?",No,Karl Schmid is not different from Carl Schmidt.,False
1615,Carl Schulz is different from Carl Schulz.,"Given the previous statement, is Karl Schulz an Carl Schulz?",No,Karl Schulz is not different from Carl Schulz.,False
1616,Carla Cassola is different from Carla Cassola.,"Given the previous statement, is Carlo Cassola an Carla Cassola?",No,Carlo Cassola is not different from Carla Cassola.,False
1617,Carle Augustus Woodruff is different from Carle Augustus Woodruff.,"Given the previous statement, is Charles Albert Woodruff an Carle Augustus Woodruff?",No,Charles Albert Woodruff is not different from Carle Augustus Woodruff.,False
1618,Carle Illinois College of Medicine is different from Carle Illinois College of Medicine.,"Given the previous statement, is University of Illinois College of Medicine an Carle Illinois College of Medicine?",No,University of Illinois College of Medicine is not different from Carle Illinois College of Medicine.,False
1619,Carles Santos is different from Carles Santos.,"Given the previous statement, is Carlos Santos an Carles Santos?",No,Carlos Santos is not different from Carles Santos.,False
1620,Carleson's theorem is different from Carleson's theorem.,"Given the previous statement, is Carlson's theorem an Carleson's theorem?",No,Carlson's theorem is not different from Carleson's theorem.,False
1621,"Carleton, West Yorkshire is different from Carleton, West Yorkshire.","Given the previous statement, is West Yorkshire an Carleton, West Yorkshire?",No,"West Yorkshire is not different from Carleton, West Yorkshire.",False
1622,"Carleton, West Yorkshire is different from Carleton, West Yorkshire.","Given the previous statement, is Carlton an Carleton, West Yorkshire?",No,"Carlton is not different from Carleton, West Yorkshire.",False
1623,Carleton-in-Craven is different from Carleton-in-Craven.,"Given the previous statement, is North Yorkshire an Carleton-in-Craven?",No,North Yorkshire is not different from Carleton-in-Craven.,False
1624,Carleton-in-Craven is different from Carleton-in-Craven.,"Given the previous statement, is Carlton an Carleton-in-Craven?",No,Carlton is not different from Carleton-in-Craven.,False
1625,Carlington is different from Carlington.,"Given the previous statement, is Carrington an Carlington?",No,Carrington is not different from Carlington.,False
1626,"Carlisle, Kentucky is different from Carlisle, Kentucky.","Given the previous statement, is Kentucky an Carlisle, Kentucky?",No,"Kentucky is not different from Carlisle, Kentucky.",False
1627,"Carlisle, Kentucky is different from Carlisle, Kentucky.","Given the previous statement, is Carlisle County an Carlisle, Kentucky?",No,"Carlisle County is not different from Carlisle, Kentucky.",False
1628,"Carlisle County, Kentucky is different from Carlisle County, Kentucky.","Given the previous statement, is Carlisle an Carlisle County, Kentucky?",No,"Carlisle is not different from Carlisle County, Kentucky.",False
1629,"Carlisle County, Kentucky is different from Carlisle County, Kentucky.","Given the previous statement, is Kentucky an Carlisle County, Kentucky?",No,"Kentucky is not different from Carlisle County, Kentucky.",False
1630,Carlo Bonomi is different from Carlo Bonomi.,"Given the previous statement, is Carlo Bononi an Carlo Bonomi?",No,Carlo Bononi is not different from Carlo Bonomi.,False
1631,Carlo Carretto is different from Carlo Carretto.,"Given the previous statement, is Carlo Domenico del Carretto an Carlo Carretto?",No,Carlo Domenico del Carretto is not different from Carlo Carretto.,False
1632,Carlo Cassola is different from Carlo Cassola.,"Given the previous statement, is Carla Cassola an Carlo Cassola?",No,Carla Cassola is not different from Carlo Cassola.,False
1633,Carlo Cokxxx Nutten 2 is different from Carlo Cokxxx Nutten 2.,"Given the previous statement, is Carlo Cokxxx Nutten II an Carlo Cokxxx Nutten 2?",No,Carlo Cokxxx Nutten II is not different from Carlo Cokxxx Nutten 2.,False
1634,Carlo Cokxxx Nutten II is different from Carlo Cokxxx Nutten II.,"Given the previous statement, is Carlo Cokxxx Nutten 2 an Carlo Cokxxx Nutten II?",No,Carlo Cokxxx Nutten 2 is not different from Carlo Cokxxx Nutten II.,False
1635,Carlo Perrone is different from Carlo Perrone.,"Given the previous statement, is Carlo Perrone an Carlo Perrone?",No,Carlo Perrone is not different from Carlo Perrone.,False
1636,Carlo Perrone is different from Carlo Perrone.,"Given the previous statement, is Carlo Perrone an Carlo Perrone?",No,Carlo Perrone is not different from Carlo Perrone.,False
1637,Carlo Rota is different from Carlo Rota.,"Given the previous statement, is Gian-Carlo Rota an Carlo Rota?",No,Gian-Carlo Rota is not different from Carlo Rota.,False
1638,Carlo de' Medici is different from Carlo de' Medici.,"Given the previous statement, is Carlo de' Medici an Carlo de' Medici?",No,Carlo de' Medici is not different from Carlo de' Medici.,False
1639,Carlos Abaunza is different from Carlos Abaunza.,"Given the previous statement, is Carlos Alberto Abaunza an Carlos Abaunza?",No,Carlos Alberto Abaunza is not different from Carlos Abaunza.,False
1640,Carlos Aguilera is different from Carlos Aguilera.,"Given the previous statement, is Carlos Aguilera an Carlos Aguilera?",No,Carlos Aguilera is not different from Carlos Aguilera.,False
1641,Carlos Alazraqui is different from Carlos Alazraqui.,"Given the previous statement, is Carlos Alazraki an Carlos Alazraqui?",No,Carlos Alazraki is not different from Carlos Alazraqui.,False
1642,Carlos Alberto Abaunza is different from Carlos Alberto Abaunza.,"Given the previous statement, is Carlos Abaunza an Carlos Alberto Abaunza?",No,Carlos Abaunza is not different from Carlos Alberto Abaunza.,False
1643,Carlos Bellvís is different from Carlos Bellvís.,"Given the previous statement, is Carlos Llorens an Carlos Bellvís?",No,Carlos Llorens is not different from Carlos Bellvís.,False
1644,Carlos Betancourt is different from Carlos Betancourt.,"Given the previous statement, is Carlos Betancur an Carlos Betancourt?",No,Carlos Betancur is not different from Carlos Betancourt.,False
1645,Carlos Betancur is different from Carlos Betancur.,"Given the previous statement, is Carlos Betancourt an Carlos Betancur?",No,Carlos Betancourt is not different from Carlos Betancur.,False
1646,Carlos Borges is different from Carlos Borges.,"Given the previous statement, is Born 2004) an Carlos Borges?",No,Born 2004) is not different from Carlos Borges.,False
1647,Carlos Borges is different from Carlos Borges.,"Given the previous statement, is Carlos Borges (footballer an Carlos Borges?",No,Carlos Borges (footballer is not different from Carlos Borges.,False
1648,Carlos Chagas is different from Carlos Chagas.,"Given the previous statement, is Carlos Chagas an Carlos Chagas?",No,Carlos Chagas is not different from Carlos Chagas.,False
1649,Carlos Chagas is different from Carlos Chagas.,"Given the previous statement, is Minas Gerais an Carlos Chagas?",No,Minas Gerais is not different from Carlos Chagas.,False
1650,Carlos Clark is different from Carlos Clark.,"Given the previous statement, is Carlos Clark an Carlos Clark?",No,Carlos Clark is not different from Carlos Clark.,False
1651,Carlos Correia is different from Carlos Correia.,"Given the previous statement, is Carlos Correa an Carlos Correia?",No,Carlos Correa is not different from Carlos Correia.,False
1652,Carlos Eduardo is different from Carlos Eduardo.,"Given the previous statement, is Carlos Eduardo Rocha an Carlos Eduardo?",No,Carlos Eduardo Rocha is not different from Carlos Eduardo.,False
1653,Carlos Escobar is different from Carlos Escobar.,"Given the previous statement, is Born 1990) an Carlos Escobar?",No,Born 1990) is not different from Carlos Escobar.,False
1654,Carlos Escobar is different from Carlos Escobar.,"Given the previous statement, is Carlos Escobar (footballer an Carlos Escobar?",No,Carlos Escobar (footballer is not different from Carlos Escobar.,False
1655,Carlos Escobar is different from Carlos Escobar.,"Given the previous statement, is Born 1989) an Carlos Escobar?",No,Born 1989) is not different from Carlos Escobar.,False
1656,Carlos Escobar is different from Carlos Escobar.,"Given the previous statement, is Carlos Escobar (footballer an Carlos Escobar?",No,Carlos Escobar (footballer is not different from Carlos Escobar.,False
1657,Carlos Espinosa is different from Carlos Espinosa.,"Given the previous statement, is Carlos Espinoza an Carlos Espinosa?",No,Carlos Espinoza is not different from Carlos Espinosa.,False
1658,Carlos Ferreira is different from Carlos Ferreira.,"Given the previous statement, is Sebastián Ferreira an Carlos Ferreira?",No,Sebastián Ferreira is not different from Carlos Ferreira.,False
1659,Carlos Fonseca is different from Carlos Fonseca.,"Given the previous statement, is Born 1987) an Carlos Fonseca?",No,Born 1987) is not different from Carlos Fonseca.,False
1660,Carlos Fonseca is different from Carlos Fonseca.,"Given the previous statement, is Carlos Fonseca (footballer an Carlos Fonseca?",No,Carlos Fonseca (footballer is not different from Carlos Fonseca.,False
1661,Carlos Fonseca is different from Carlos Fonseca.,"Given the previous statement, is Born 1985) an Carlos Fonseca?",No,Born 1985) is not different from Carlos Fonseca.,False
1662,Carlos Fonseca is different from Carlos Fonseca.,"Given the previous statement, is Carlos Fonseca (footballer an Carlos Fonseca?",No,Carlos Fonseca (footballer is not different from Carlos Fonseca.,False
1663,Carlos Henrique is different from Carlos Henrique.,"Given the previous statement, is Born 1983) an Carlos Henrique?",No,Born 1983) is not different from Carlos Henrique.,False
1664,Carlos Henrique is different from Carlos Henrique.,"Given the previous statement, is Carlinhos (footballer an Carlos Henrique?",No,Carlinhos (footballer is not different from Carlos Henrique.,False
1665,Carlos Henrique is different from Carlos Henrique.,"Given the previous statement, is Henrique (footballer an Carlos Henrique?",No,Henrique (footballer is not different from Carlos Henrique.,False
1666,Carlos Irigoyen is different from Carlos Irigoyen.,"Given the previous statement, is Carlos Irigoyen Ruiz an Carlos Irigoyen?",No,Carlos Irigoyen Ruiz is not different from Carlos Irigoyen.,False
1667,Carlos Lima is different from Carlos Lima.,"Given the previous statement, is Carlos Lima an Carlos Lima?",No,Carlos Lima is not different from Carlos Lima.,False
1668,Carlos Llorens is different from Carlos Llorens.,"Given the previous statement, is Carlos Bellvís an Carlos Llorens?",No,Carlos Bellvís is not different from Carlos Llorens.,False
1669,Carlos Marighella is different from Carlos Marighella.,"Given the previous statement, is Marighella an Carlos Marighella?",No,Marighella is not different from Carlos Marighella.,False
1670,Carlos Martínez is different from Carlos Martínez.,"Given the previous statement, is Born 1991) an Carlos Martínez?",No,Born 1991) is not different from Carlos Martínez.,False
1671,Carlos Martínez is different from Carlos Martínez.,"Given the previous statement, is Carlos Martínez (pitcher an Carlos Martínez?",No,Carlos Martínez (pitcher is not different from Carlos Martínez.,False
1672,Carlos Martínez is different from Carlos Martínez.,"Given the previous statement, is Born 1982) an Carlos Martínez?",No,Born 1982) is not different from Carlos Martínez.,False
1673,Carlos Martínez is different from Carlos Martínez.,"Given the previous statement, is Carlos Martínez (pitcher an Carlos Martínez?",No,Carlos Martínez (pitcher is not different from Carlos Martínez.,False
1674,Carlos Meza is different from Carlos Meza.,"Given the previous statement, is Carlos Mesa an Carlos Meza?",No,Carlos Mesa is not different from Carlos Meza.,False
1675,Carlos Molina is different from Carlos Molina.,"Given the previous statement, is Carlos Molina an Carlos Molina?",No,Carlos Molina is not different from Carlos Molina.,False
1676,Carlos Molina is different from Carlos Molina.,"Given the previous statement, is Carlos Molina an Carlos Molina?",No,Carlos Molina is not different from Carlos Molina.,False
1677,Carlos Olsen is different from Carlos Olsen.,"Given the previous statement, is Carlos Olses an Carlos Olsen?",No,Carlos Olses is not different from Carlos Olsen.,False
1678,Carlos P. Garcia National Highway is different from Carlos P. Garcia National Highway.,"Given the previous statement, is Carlos P. Garcia Avenue an Carlos P. Garcia National Highway?",No,Carlos P. Garcia Avenue is not different from Carlos P. Garcia National Highway.,False
1679,Carlos Pérez is different from Carlos Pérez.,"Given the previous statement, is Born 1996) an Carlos Pérez?",No,Born 1996) is not different from Carlos Pérez.,False
1680,Carlos Pérez is different from Carlos Pérez.,"Given the previous statement, is Carlos Pérez (catcher an Carlos Pérez?",No,Carlos Pérez (catcher is not different from Carlos Pérez.,False
1681,Carlos Rentería is different from Carlos Rentería.,"Given the previous statement, is Carlos Alberto Rentería Mantilla an Carlos Rentería?",No,Carlos Alberto Rentería Mantilla is not different from Carlos Rentería.,False
1682,Carlos Rentería is different from Carlos Rentería.,"Given the previous statement, is Carlos Enrique Rentería an Carlos Rentería?",No,Carlos Enrique Rentería is not different from Carlos Rentería.,False
1683,Carlos Rivero is different from Carlos Rivero.,"Given the previous statement, is Carlos Rivera an Carlos Rivero?",No,Carlos Rivera is not different from Carlos Rivero.,False
1684,Carlos Salcedo is different from Carlos Salcedo.,"Given the previous statement, is Carlos Salcido an Carlos Salcedo?",No,Carlos Salcido is not different from Carlos Salcedo.,False
1685,Carlos Salcido is different from Carlos Salcido.,"Given the previous statement, is Carlos Salcedo an Carlos Salcido?",No,Carlos Salcedo is not different from Carlos Salcido.,False
1686,Carlos Torre Repetto is different from Carlos Torre Repetto.,"Given the previous statement, is Eugenio Torre an Carlos Torre Repetto?",No,Eugenio Torre is not different from Carlos Torre Repetto.,False
1687,Carlos Valverde is different from Carlos Valverde.,"Given the previous statement, is Born 1988) an Carlos Valverde?",No,Born 1988) is not different from Carlos Valverde.,False
1688,Carlos Valverde is different from Carlos Valverde.,"Given the previous statement, is Carlos Valverde (footballer an Carlos Valverde?",No,Carlos Valverde (footballer is not different from Carlos Valverde.,False
1689,Carlos Valverde is different from Carlos Valverde.,"Given the previous statement, is Carlos Javier Valverde Doblado an Carlos Valverde?",No,Carlos Javier Valverde Doblado is not different from Carlos Valverde.,False
1690,Carlos Vilar is different from Carlos Vilar.,"Given the previous statement, is Carlos Alcántara Vilar an Carlos Vilar?",No,Carlos Alcántara Vilar is not different from Carlos Vilar.,False
1691,Carlos Vinícius is different from Carlos Vinícius.,"Given the previous statement, is Vinícius Júnior an Carlos Vinícius?",No,Vinícius Júnior is not different from Carlos Vinícius.,False
1692,Carlos Véliz is different from Carlos Véliz.,"Given the previous statement, is Carlos Pezoa Véliz an Carlos Véliz?",No,Carlos Pezoa Véliz is not different from Carlos Véliz.,False
1693,Carlos da Silva is different from Carlos da Silva.,"Given the previous statement, is Carlos Silva an Carlos da Silva?",No,Carlos Silva is not different from Carlos da Silva.,False
1694,Carlota Perez is different from Carlota Perez.,"Given the previous statement, is Carlota Pérez-Reverte an Carlota Perez?",No,Carlota Pérez-Reverte is not different from Carlota Perez.,False
1695,"Carlsbad, California is different from Carlsbad, California.","Given the previous statement, is Calaveras Hills High School an Carlsbad, California?",No,"Calaveras Hills High School is not different from Carlsbad, California.",False
1696,"Carlsberg, Germany is different from Carlsberg, Germany.","Given the previous statement, is Carlsburg an Carlsberg, Germany?",No,"Carlsburg is not different from Carlsberg, Germany.",False
1697,Carlsberg Group is different from Carlsberg Group.,"Given the previous statement, is Karlsberg an Carlsberg Group?",No,Karlsberg is not different from Carlsberg Group.,False
1698,Carlson's theorem is different from Carlson's theorem.,"Given the previous statement, is Carleson's theorem an Carlson's theorem?",No,Carleson's theorem is not different from Carlson's theorem.,False
1699,Carlton Town F.C. is different from Carlton Town F.C..,"Given the previous statement, is Carlton Football Club an Carlton Town F.C.?",No,Carlton Football Club is not different from Carlton Town F.C..,False
1700,Carly Phillips is different from Carly Phillips.,"Given the previous statement, is Carnie Wilson an Carly Phillips?",No,Carnie Wilson is not different from Carly Phillips.,False
1701,Carly Phillips is different from Carly Phillips.,"Given the previous statement, is Wilson Phillips an Carly Phillips?",No,Wilson Phillips is not different from Carly Phillips.,False
1702,Carmarthen is different from Carmarthen.,"Given the previous statement, is Caernarfon an Carmarthen?",No,Caernarfon is not different from Carmarthen.,False
1703,Carmarthenshire is different from Carmarthenshire.,"Given the previous statement, is Caernarfonshire an Carmarthenshire?",No,Caernarfonshire is not different from Carmarthenshire.,False
1704,"Carmel, West Virginia is different from Carmel, West Virginia.","Given the previous statement, is Mount Carmel an Carmel, West Virginia?",No,"Mount Carmel is not different from Carmel, West Virginia.",False
1705,"Carmel, West Virginia is different from Carmel, West Virginia.","Given the previous statement, is West Virginia an Carmel, West Virginia?",No,"West Virginia is not different from Carmel, West Virginia.",False
1706,"Carmel Valley, California is different from Carmel Valley, California.","Given the previous statement, is California an Carmel Valley, California?",No,"California is not different from Carmel Valley, California.",False
1707,"Carmel Valley, California is different from Carmel Valley, California.","Given the previous statement, is Carmel Valley Village an Carmel Valley, California?",No,"Carmel Valley Village is not different from Carmel Valley, California.",False
1708,"Carmel Valley, San Diego is different from Carmel Valley, San Diego.","Given the previous statement, is California an Carmel Valley, San Diego?",No,"California is not different from Carmel Valley, San Diego.",False
1709,"Carmel Valley, San Diego is different from Carmel Valley, San Diego.","Given the previous statement, is Carmel Valley Village an Carmel Valley, San Diego?",No,"Carmel Valley Village is not different from Carmel Valley, San Diego.",False
1710,Carmen Electra is different from Carmen Electra.,"Given the previous statement, is Tera Patrick an Carmen Electra?",No,Tera Patrick is not different from Carmen Electra.,False
1711,Carmen Nigro is different from Carmen Nigro.,"Given the previous statement, is Carmine Nigro an Carmen Nigro?",No,Carmine Nigro is not different from Carmen Nigro.,False
1712,Carmen Silvera is different from Carmen Silvera.,"Given the previous statement, is Carmen Sylva an Carmen Silvera?",No,Carmen Sylva is not different from Carmen Silvera.,False
1713,Carnegie Art Museum is different from Carnegie Art Museum.,"Given the previous statement, is Carnegie Museum of Art an Carnegie Art Museum?",No,Carnegie Museum of Art is not different from Carnegie Art Museum.,False
1714,Carnegie Art Museum is different from Carnegie Art Museum.,"Given the previous statement, is Kansas an Carnegie Art Museum?",No,Kansas is not different from Carnegie Art Museum.,False
1715,Carnegie Art Museum is different from Carnegie Art Museum.,"Given the previous statement, is Carnegie Arts Center of Leavenworth an Carnegie Art Museum?",No,Carnegie Arts Center of Leavenworth is not different from Carnegie Art Museum.,False
1716,Carnegie Hall is different from Carnegie Hall.,"Given the previous statement, is Carnegie Hill an Carnegie Hall?",No,Carnegie Hill is not different from Carnegie Hall.,False
1717,Carnegie Medal is different from Carnegie Medal.,"Given the previous statement, is Fiction an Carnegie Medal?",No,Fiction is not different from Carnegie Medal.,False
1718,Carnegie Medal is different from Carnegie Medal.,"Given the previous statement, is Nonfiction an Carnegie Medal?",No,Nonfiction is not different from Carnegie Medal.,False
